Epoch,Tanh,ReLU,LeakyReLU,Sigmoid
202,1.4414,2.1926,2.0011,7.9264
203,1.4357,2.2546,2.0084,7.9249
204,1.4382,2.1765,2.0244,7.9231
205,1.4284,2.1816,1.9973,7.9213
206,1.4229,2.1186,2.0144,7.9196
207,1.4253,2.1107,2.0177,7.9180
208,1.4171,2.1342,2.0425,7.9164
209,1.4137,2.1523,2.0199,7.9146
210,1.4131,2.1235,1.9905,7.9130
211,1.4036,2.1075,1.9949,7.9114
212,1.3956,2.1442,2.0306,7.9096
213,1.3942,2.1148,1.9865,7.9081
214,1.3848,2.1552,1.9884,7.9061
215,1.3804,2.1373,1.9548,7.9044
216,1.3725,2.1679,1.9740,7.9028
217,1.3701,2.1447,2.0288,7.9012
218,1.3685,2.1245,1.9919,7.8994
219,1.3572,2.1520,1.9889,7.8977
220,1.3557,2.0777,1.9877,7.8961
221,1.3507,2.1462,1.9842,7.8941
222,1.3434,2.1852,2.0040,7.8925
223,1.3427,2.1565,1.9396,7.8906
224,1.3360,2.1258,2.0158,7.8893
225,1.3249,2.1155,1.9834,7.8873
226,1.3200,2.1066,1.9406,7.8854
227,1.3261,2.1952,1.9923,7.8839
228,1.3193,2.1351,1.9364,7.8819
229,1.3180,2.1244,1.9915,7.8803
230,1.3266,2.1088,1.9772,7.8784
231,1.3091,2.1623,1.9389,7.8767
232,1.3053,2.1174,1.9413,7.8749
233,1.3032,2.1079,1.9320,7.8728
234,1.3027,2.1451,1.9458,7.8710
235,1.2926,2.1342,1.9456,7.8691
236,1.2909,2.0873,1.9288,7.8673
237,1.2958,2.0972,1.9120,7.8657
238,1.2934,2.1137,1.8926,7.8634
239,1.2985,2.1932,1.9017,7.8616
240,1.2882,2.0702,1.9520,7.8596
241,1.2730,2.1233,1.9482,7.8576
242,1.2739,2.0944,1.9346,7.8556
243,1.2729,2.1525,1.9058,7.8535
244,1.2742,2.1407,1.9156,7.8516
245,1.2731,2.0850,1.8966,7.8497
246,1.2732,2.1359,1.9014,7.8474
247,1.2711,2.1216,1.8773,7.8455
248,1.2676,2.1542,1.9408,7.8434
249,1.2721,2.0797,1.8657,7.8413
250,1.2652,2.0908,1.8605,7.8391
251,1.2638,2.1004,1.8615,7.8370
252,1.2705,2.1460,1.8683,7.8350
253,1.2614,2.1061,1.8731,7.8327
254,1.2629,2.1449,1.8805,7.8304
255,1.2615,2.0965,1.8609,7.8285
256,1.2554,2.0512,1.8361,7.8259
257,1.2586,2.1116,1.8432,7.8238
258,1.2455,2.1465,1.8392,7.8216
259,1.2503,2.1298,1.8099,7.8190
260,1.2467,2.1061,1.8350,7.8168
261,1.2508,2.1158,1.8553,7.8143
262,1.2434,2.0932,1.8718,7.8119
263,1.2499,2.1317,1.8193,7.8097
264,1.2352,2.0959,1.8760,7.8071
265,1.2397,2.0611,1.8602,7.8045
266,1.2359,2.0587,1.8373,7.8021
267,1.2415,2.0903,1.8233,7.7999
268,1.2281,2.0667,1.8254,7.7971
269,1.2330,2.0558,1.8443,7.7948
270,1.2350,2.1158,1.7764,7.7921
271,1.2412,2.1735,1.8367,7.7893
272,1.2252,2.0603,1.8342,7.7866
273,1.2292,2.1518,1.8365,7.7840
274,1.2236,2.1280,1.8466,7.7813
275,1.2226,2.1041,1.7859,7.7786
276,1.2332,2.1461,1.8287,7.7758
277,1.2292,2.1121,1.8089,7.7729
278,1.2223,2.1012,1.8162,7.7702
279,1.2311,2.0511,1.8241,7.7675
280,1.2075,2.1420,1.7750,7.7647
281,1.2210,2.0883,1.8276,7.7619
282,1.2198,2.0734,1.7930,7.7589
283,1.2185,2.0527,1.8001,7.7559
284,1.2061,2.0838,1.7937,7.7528
285,1.2203,2.0932,1.8106,7.7498
286,1.2117,2.0573,1.8416,7.7467
287,1.2152,2.0991,1.7918,7.7436
288,1.2060,2.0597,1.7846,7.7405
289,1.2167,2.0906,1.8117,7.7375
290,1.2050,2.0589,1.7957,7.7341
291,1.2223,2.1132,1.7737,7.7309
292,1.2049,2.0581,1.8034,7.7277
293,1.2107,2.0860,1.7658,7.7244
294,1.1966,2.0686,1.7792,7.7214
295,1.1973,2.1376,1.7637,7.7179
296,1.2126,2.1010,1.7578,7.7144
297,1.1946,2.0817,1.7964,7.7110
298,1.2040,1.9940,1.7732,7.7077
299,1.1990,2.1113,1.7923,7.7041
300,1.2008,2.0977,1.7880,7.7007
301,1.1991,2.0895,1.7463,7.6973
302,1.1999,2.0598,1.7990,7.6936
303,1.1977,2.0787,1.7585,7.6898
304,1.1918,2.0972,1.7138,7.6860
305,1.1984,2.0653,1.7593,7.6824
306,1.2004,2.0523,1.8243,7.6788
307,1.1936,2.1058,1.7457,7.6750
308,1.2003,2.0862,1.7601,7.6710
309,1.1944,2.0493,1.7660,7.6674
310,1.1827,2.0846,1.7673,7.6636
311,1.1752,2.0948,1.7284,7.6593
312,1.1937,2.0420,1.7751,7.6556
313,1.1844,2.0445,1.7870,7.6517
314,1.1782,2.1023,1.7346,7.6475
315,1.1815,2.0840,1.7293,7.6435
316,1.1788,2.0428,1.7296,7.6392
317,1.2016,2.0739,1.7624,7.6349
318,1.1875,2.1009,1.7283,7.6306
