Epoch,2x8x4x1,2x16x8x4x1,2x32x16x8x4x1,2x64x32x16x8x4x1
217,1.2684,0.2316,0.1010,0.0699
218,1.2669,0.2306,0.1449,0.0740
219,1.2656,0.2211,0.1126,0.0696
220,1.2612,0.2183,0.1271,0.0952
221,1.2621,0.2634,0.2046,0.0683
222,1.2586,0.2300,0.0986,0.0653
223,1.2605,0.2481,0.0971,0.0713
224,1.2564,0.2353,0.1005,0.0622
225,1.2566,0.2744,0.1065,0.0657
226,1.2519,0.2740,0.0905,0.0693
227,1.2514,0.3118,0.0859,0.1050
228,1.2513,0.2290,0.1024,0.0623
229,1.2488,0.2436,0.0907,0.0616
230,1.2460,0.2887,0.1087,0.0554
231,1.2459,0.2453,0.1456,0.0647
232,1.2452,0.2641,0.1092,0.0644
233,1.2440,0.2652,0.0981,0.0630
234,1.2390,0.2024,0.1172,0.0622
235,1.2415,0.2188,0.0937,0.0602
236,1.2411,0.2131,0.0879,0.0615
237,1.2378,0.2108,0.0918,0.0639
238,1.2373,0.2035,0.0862,0.0603
239,1.2367,0.2630,0.0785,0.0623
240,1.2312,0.2220,0.1035,0.0727
241,1.2308,0.2237,0.0966,0.0980
242,1.2286,0.1865,0.1007,0.0775
243,1.2288,0.2049,0.0709,0.0573
244,1.2274,0.2366,0.1282,0.0742
245,1.2282,0.1997,0.0852,0.0559
246,1.2265,0.2468,0.0886,0.0499
247,1.2242,0.2308,0.1038,0.0546
248,1.2222,0.1944,0.0755,0.0513
249,1.2228,0.1870,0.1191,0.0510
250,1.2210,0.1996,0.0886,0.0558
251,1.2189,0.2154,0.0922,0.0506
252,1.2176,0.2056,0.0795,0.0522
253,1.2148,0.2013,0.0886,0.0511
254,1.2139,0.1869,0.0917,0.0555
255,1.2124,0.2222,0.0738,0.0497
256,1.2123,0.3008,0.0737,0.0547
257,1.2115,0.1700,0.0940,0.0538
258,1.2084,0.1765,0.1438,0.0520
259,1.2072,0.1926,0.0662,0.0494
260,1.2054,0.2299,0.0946,0.0497
261,1.2087,0.2028,0.0865,0.0571
262,1.2071,0.2340,0.1301,0.0468
263,1.2026,0.1912,0.0989,0.0522
264,1.2011,0.2118,0.0871,0.0737
265,1.2015,0.2063,0.0831,0.0495
266,1.1979,0.2015,0.0966,0.0685
267,1.1970,0.1938,0.0729,0.0537
268,1.1989,0.1964,0.1023,0.0455
269,1.1974,0.1709,0.0858,0.0502
270,1.1951,0.1871,0.0721,0.0793
271,1.1942,0.1721,0.0727,0.0443
272,1.1913,0.1792,0.0852,0.0441
273,1.1911,0.1945,0.0695,0.0457
274,1.1916,0.1948,0.0637,0.0471
275,1.1879,0.1930,0.0673,0.0454
276,1.1886,0.1695,0.0763,0.0537
277,1.1873,0.2004,0.0940,0.0402
278,1.1815,0.1832,0.0688,0.0482
279,1.1835,0.2044,0.0631,0.0516
280,1.1829,0.2065,0.0765,0.0578
281,1.1811,0.1647,0.0755,0.0473
282,1.1791,0.1786,0.0674,0.0428
283,1.1790,0.2266,0.0727,0.0418
284,1.1777,0.1755,0.0832,0.0450
285,1.1779,0.1516,0.0861,0.0546
286,1.1756,0.1830,0.0617,0.0405
287,1.1750,0.1906,0.0641,0.0407
288,1.1746,0.1716,0.0869,0.0651
289,1.1722,0.2128,0.0668,0.0409
290,1.1724,0.1875,0.0620,0.0442
291,1.1717,0.1762,0.0882,0.0575
292,1.1717,0.1961,0.0827,0.0428
293,1.1682,0.1712,0.0612,0.0395
294,1.1696,0.1947,0.0573,0.0480
295,1.1656,0.1523,0.0601,0.0474
296,1.1651,0.1662,0.0752,0.0380
297,1.1667,0.1965,0.0714,0.0412
298,1.1680,0.1792,0.0845,0.0403
299,1.1645,0.1769,0.0652,0.0425
300,1.1627,0.1933,0.0549,0.0521
301,1.1606,0.1883,0.0679,0.0525
302,1.1589,0.1419,0.0777,0.0368
303,1.1563,0.1915,0.0633,0.0468
304,1.1539,0.1579,0.0740,0.0382
305,1.1548,0.1716,0.0679,0.0466
306,1.1548,0.1538,0.0564,0.0386
307,1.1543,0.1547,0.0793,0.0354
308,1.1475,0.1968,0.0679,0.0492
309,1.1535,0.1600,0.0691,0.0393
310,1.1515,0.1978,0.0815,0.0366
311,1.1474,0.1703,0.1218,0.0439
312,1.1487,0.1473,0.0836,0.0405
313,1.1503,0.1571,0.0608,0.0344
314,1.1454,0.1472,0.0557,0.0424
315,1.1444,0.1827,0.0611,0.0364
316,1.1440,0.1963,0.0906,0.0387
317,1.1411,0.1790,0.0632,0.0430
318,1.1436,0.1572,0.0752,0.0407
319,1.1450,0.2035,0.0632,0.0370
320,1.1396,0.1594,0.0572,0.0542
321,1.1364,0.1605,0.0520,0.0319
322,1.1382,0.1863,0.0590,0.0393
323,1.1370,0.1387,0.0730,0.0345
324,1.1396,0.1843,0.0682,0.0798
325,1.1368,0.1484,0.0635,0.0330
326,1.1323,0.1525,0.0535,0.0371
327,1.1352,0.1480,0.0525,0.0317
328,1.1281,0.1587,0.0451,0.0342
329,1.1298,0.1416,0.0930,0.0316
330,1.1313,0.1579,0.0541,0.0356
331,1.1249,0.1330,0.0721,0.0367
332,1.1257,0.2137,0.0610,0.0407
333,1.1254,0.1500,0.0739,0.0390
334,1.1247,0.1701,0.0490,0.0369
335,1.1303,0.1855,0.0653,0.0321
336,1.1261,0.1367,0.0493,0.0422
337,1.1209,0.1737,0.0552,0.0333
338,1.1208,0.1500,0.0495,0.0383
339,1.1233,0.1438,0.0483,0.0298
340,1.1173,0.1500,0.0707,0.0340
341,1.1202,0.1560,0.0503,0.0326
342,1.1167,0.1701,0.0753,0.0431
343,1.1180,0.1458,0.1143,0.0335
344,1.1171,0.1260,0.0572,0.0347
345,1.1148,0.1349,0.0453,0.0299
346,1.1124,0.1597,0.0566,0.0311
347,1.1129,0.1582,0.0541,0.0343
348,1.1092,0.1911,0.0515,0.0373
349,1.1121,0.1706,0.0648,0.0344
350,1.1095,0.1489,0.0519,0.0414
351,1.1151,0.1195,0.0561,0.0296
352,1.1028,0.1436,0.0723,0.0516
353,1.1049,0.1619,0.0483,0.0366
354,1.1019,0.1702,0.0533,0.0279
355,1.1097,0.1468,0.0458,0.0339
356,1.1068,0.1587,0.0665,0.0323
357,1.0997,0.1401,0.0646,0.0354
358,1.1049,0.1616,0.0550,0.0758
359,1.1066,0.1328,0.0531,0.0320
360,1.0978,0.1289,0.0478,0.0312
361,1.0974,0.1413,0.0848,0.0355
362,1.1019,0.1419,0.0512,0.0305
363,1.0949,0.1225,0.0743,0.0312
364,1.0924,0.1506,0.0705,0.0279
365,1.0942,0.1328,0.0551,0.0290
366,1.0917,0.1274,0.0478,0.0312
367,1.0939,0.1502,0.1726,0.0306
368,1.0956,0.1223,0.0493,0.0305
369,1.0910,0.1276,0.0467,0.0277
