Epoch,2x64x32x1,2x64x32x16x1,2x64x32x16x8x1,2x64x32x16x8x4x1
405,0.0401,0.0374,0.0232,0.0300
406,0.0383,0.0472,0.0300,0.0230
407,0.0391,0.0435,0.0258,0.0272
408,0.0382,0.0384,0.0272,0.0310
409,0.0387,0.0387,0.0288,0.0232
410,0.0384,0.0340,0.0255,0.0266
411,0.0369,0.0329,0.0258,0.0234
412,0.0365,0.0341,0.0281,0.0338
413,0.0367,0.0377,0.0246,0.0289
414,0.0369,0.0307,0.0312,0.0244
415,0.0370,0.0423,0.0276,0.0243
416,0.0366,0.0321,0.0255,0.0330
417,0.0367,0.0356,0.0291,0.0220
418,0.0364,0.0376,0.0272,0.0214
419,0.0357,0.0343,0.0223,0.0244
420,0.0361,0.0373,0.0256,0.0301
421,0.0357,0.0355,0.0263,0.0290
422,0.0357,0.0361,0.0266,0.0278
423,0.0359,0.0320,0.0254,0.0224
424,0.0353,0.0365,0.0269,0.0219
425,0.0363,0.0476,0.0261,0.0243
426,0.0354,0.0330,0.0363,0.0274
427,0.0352,0.0454,0.0234,0.0232
428,0.0346,0.0257,0.0270,0.0272
429,0.0348,0.0328,0.0307,0.0211
430,0.0345,0.0258,0.0265,0.0299
431,0.0347,0.0320,0.0274,0.0287
432,0.0346,0.0296,0.0233,0.0209
433,0.0333,0.0345,0.0314,0.0267
434,0.0341,0.0327,0.0219,0.0228
435,0.0354,0.0383,0.0250,0.0226
436,0.0339,0.0362,0.0264,0.0231
437,0.0333,0.0317,0.0341,0.0253
438,0.0330,0.0332,0.0286,0.0242
439,0.0335,0.0318,0.0266,0.0223
440,0.0337,0.0287,0.0269,0.0258
441,0.0324,0.0294,0.0310,0.0278
442,0.0331,0.0290,0.0255,0.0239
443,0.0325,0.0295,0.0242,0.0262
444,0.0325,0.0284,0.0205,0.0252
445,0.0325,0.0369,0.0214,0.0261
446,0.0323,0.0404,0.0214,0.0206
447,0.0327,0.0294,0.0276,0.0220
448,0.0317,0.0319,0.0239,0.0477
449,0.0320,0.0318,0.0287,0.0266
450,0.0324,0.0322,0.0275,0.0250
451,0.0316,0.0343,0.0218,0.0218
452,0.0315,0.0436,0.0280,0.0224
453,0.0317,0.0293,0.0408,0.0211
