Epoch,Mean Squared Error,Mean Absolute Error,Smooth L1 Loss,Huber Loss,Log-Cosh Loss,Quantile Loss,Mean Absolute Percentage Error
130,1.3364,1.7989,1.5014,1.6156,1.5662,0.4948,1.0064
131,1.3267,1.7870,1.4950,1.6098,1.5623,0.4945,1.0267
132,1.3118,1.7748,1.4886,1.6039,1.5583,0.4942,1.0285
133,1.3028,1.7624,1.4822,1.5979,1.5541,0.4939,1.0140
134,1.2976,1.7498,1.4757,1.5918,1.5499,0.4937,1.0323
135,1.2894,1.7370,1.4693,1.5856,1.5455,0.4934,1.0165
136,1.2790,1.7240,1.4630,1.5793,1.5411,0.4932,1.0175
137,1.2646,1.7109,1.4566,1.5729,1.5366,0.4930,1.0249
138,1.2610,1.6976,1.4503,1.5664,1.5319,0.4928,1.0213
139,1.2550,1.6841,1.4440,1.5598,1.5272,0.4926,1.0203
140,1.2419,1.6704,1.4378,1.5530,1.5223,0.4924,1.0203
141,1.2332,1.6567,1.4316,1.5462,1.5173,0.4922,1.0224
142,1.2238,1.6429,1.4255,1.5393,1.5122,0.4920,1.0240
143,1.2245,1.6292,1.4195,1.5323,1.5070,0.4918,1.0265
144,1.2116,1.6155,1.4134,1.5252,1.5017,0.4917,1.0187
145,1.2037,1.6020,1.4075,1.5180,1.4963,0.4915,1.0182
146,1.1926,1.5884,1.4017,1.5108,1.4907,0.4913,1.0151
147,1.1889,1.5750,1.3960,1.5035,1.4851,0.4912,1.0172
148,1.1824,1.5616,1.3903,1.4961,1.4793,0.4910,1.0205
149,1.1743,1.5483,1.3847,1.4886,1.4734,0.4909,1.0182
150,1.1616,1.5352,1.3792,1.4811,1.4673,0.4908,1.0200
151,1.1543,1.5222,1.3738,1.4735,1.4612,0.4906,1.0215
152,1.1492,1.5093,1.3685,1.4658,1.4549,0.4905,1.0115
153,1.1430,1.4961,1.3633,1.4582,1.4485,0.4904,1.0250
154,1.1351,1.4834,1.3582,1.4505,1.4419,0.4903,1.0221
155,1.1318,1.4706,1.3532,1.4427,1.4353,0.4901,1.0195
156,1.1185,1.4584,1.3484,1.4350,1.4284,0.4900,1.0201
157,1.1138,1.4461,1.3435,1.4272,1.4215,0.4899,1.0159
158,1.1013,1.4341,1.3389,1.4193,1.4144,0.4898,1.0206
159,1.1007,1.4223,1.3343,1.4115,1.4073,0.4896,1.0161
160,1.0956,1.4108,1.3298,1.4037,1.3999,0.4895,1.0167
161,1.0881,1.3993,1.3254,1.3959,1.3925,0.4894,1.0195
162,1.0791,1.3882,1.3211,1.3881,1.3848,0.4893,1.0193
163,1.0758,1.3772,1.3170,1.3804,1.3771,0.4892,1.0168
164,1.0696,1.3663,1.3129,1.3726,1.3693,0.4891,1.0191
165,1.0603,1.3556,1.3089,1.3650,1.3613,0.4890,1.0163
166,1.0489,1.3453,1.3051,1.3573,1.3532,0.4889,1.0175
167,1.0466,1.3349,1.3013,1.3497,1.3449,0.4888,1.0188
168,1.0471,1.3247,1.2976,1.3421,1.3365,0.4887,1.0175
169,1.0360,1.3146,1.2941,1.3346,1.3280,0.4886,1.0226
170,1.0331,1.3046,1.2906,1.3272,1.3194,0.4885,1.0152
171,1.0256,1.2949,1.2872,1.3198,1.3106,0.4884,1.0181
172,1.0172,1.2850,1.2840,1.3125,1.3017,0.4884,1.0179
173,1.0091,1.2752,1.2807,1.3054,1.2927,0.4883,1.0265
174,1.0031,1.2656,1.2776,1.2983,1.2836,0.4882,1.0185
175,1.0074,1.2559,1.2745,1.2912,1.2744,0.4881,1.0254
176,0.9963,1.2469,1.2716,1.2843,1.2650,0.4881,1.0254
177,0.9868,1.2382,1.2688,1.2774,1.2555,0.4880,1.0232
178,0.9790,1.2294,1.2660,1.2707,1.2460,0.4879,1.0140
179,0.9712,1.2205,1.2632,1.2641,1.2363,0.4879,1.0259
180,0.9724,1.2122,1.2606,1.2576,1.2265,0.4878,1.0209
181,0.9620,1.2041,1.2580,1.2511,1.2167,0.4877,1.0166
182,0.9595,1.1960,1.2555,1.2448,1.2067,0.4877,1.0142
183,0.9491,1.1883,1.2531,1.2386,1.1967,0.4876,1.0214
184,0.9447,1.1807,1.2507,1.2325,1.1866,0.4875,1.0076
185,0.9362,1.1735,1.2483,1.2265,1.1765,0.4875,1.0246
186,0.9328,1.1661,1.2460,1.2206,1.1662,0.4874,1.0117
187,0.9247,1.1594,1.2439,1.2149,1.1559,0.4874,1.0230
188,0.9205,1.1525,1.2417,1.2091,1.1456,0.4873,1.0191
189,0.9141,1.1462,1.2396,1.2036,1.1352,0.4873,1.0207
190,0.9023,1.1396,1.2375,1.1982,1.1248,0.4872,1.0152
191,0.8967,1.1334,1.2355,1.1928,1.1144,0.4872,1.0108
192,0.8906,1.1271,1.2336,1.1875,1.1040,0.4871,1.0266
193,0.8770,1.1212,1.2316,1.1823,1.0935,0.4871,1.0160
194,0.8725,1.1154,1.2298,1.1773,1.0831,0.4870,1.0163
195,0.8662,1.1099,1.2279,1.1723,1.0727,0.4870,1.0180
196,0.8632,1.1047,1.2262,1.1674,1.0623,0.4869,1.0239
197,0.8527,1.0997,1.2244,1.1626,1.0519,0.4869,1.0173
198,0.8485,1.0948,1.2227,1.1580,1.0416,0.4868,1.0211
199,0.8418,1.0896,1.2210,1.1533,1.0313,0.4868,1.0195
200,0.8312,1.0853,1.2193,1.1488,1.0212,0.4868,1.0286
201,0.8312,1.0811,1.2177,1.1444,1.0110,0.4867,1.0140
202,0.8167,1.0769,1.2162,1.1400,1.0009,0.4867,1.0236
203,0.8098,1.0728,1.2145,1.1357,0.9910,0.4866,1.0180
204,0.8095,1.0690,1.2130,1.1314,0.9811,0.4866,1.0114
205,0.7958,1.0650,1.2115,1.1273,0.9714,0.4865,1.0228
206,0.7961,1.0613,1.2100,1.1231,0.9618,0.4865,1.0140
207,0.7847,1.0574,1.2085,1.1191,0.9522,0.4864,1.0226
208,0.7847,1.0537,1.2070,1.1151,0.9429,0.4864,1.0178
209,0.7720,1.0507,1.2056,1.1112,0.9336,0.4864,1.0217
210,0.7767,1.0473,1.2042,1.1073,0.9245,0.4863,1.0203
211,0.7667,1.0437,1.2027,1.1035,0.9154,0.4863,1.0156
212,0.7608,1.0408,1.2013,1.0997,0.9066,0.4862,1.0166
213,0.7536,1.0374,1.2000,1.0960,0.8980,0.4862,1.0190
214,0.7458,1.0349,1.1986,1.0923,0.8895,0.4862,1.0193
215,0.7462,1.0314,1.1973,1.0887,0.8810,0.4861,1.0197
216,0.7471,1.0282,1.1960,1.0851,0.8727,0.4861,1.0189
217,0.7364,1.0261,1.1947,1.0815,0.8646,0.4860,1.0209
218,0.7339,1.0234,1.1933,1.0779,0.8567,0.4860,1.0122
219,0.7256,1.0203,1.1920,1.0745,0.8489,0.4860,1.0192
220,0.7264,1.0181,1.1907,1.0710,0.8412,0.4859,1.0196
221,0.7221,1.0156,1.1893,1.0676,0.8337,0.4859,1.0195
222,0.7191,1.0132,1.1881,1.0642,0.8264,0.4858,1.0194
223,0.7150,1.0104,1.1868,1.0608,0.8191,0.4858,1.0194
224,0.7086,1.0084,1.1856,1.0574,0.8121,0.4858,1.0197
225,0.7085,1.0059,1.1843,1.0541,0.8052,0.4857,1.0191
226,0.7049,1.0039,1.1830,1.0508,0.7983,0.4857,1.0207
227,0.7000,1.0011,1.1817,1.0475,0.7917,0.4857,1.0142
228,0.6957,0.9992,1.1805,1.0442,0.7852,0.4856,1.0129
229,0.6967,0.9972,1.1792,1.0410,0.7789,0.4856,1.0237
230,0.6895,0.9951,1.1780,1.0379,0.7726,0.4856,1.0167
231,0.6819,0.9928,1.1767,1.0346,0.7665,0.4855,1.0157
232,0.6839,0.9911,1.1754,1.0314,0.7605,0.4855,1.0267
233,0.6827,0.9890,1.1741,1.0281,0.7547,0.4855,1.0164
234,0.6808,0.9871,1.1729,1.0250,0.7490,0.4854,1.0201
235,0.6763,0.9849,1.1716,1.0218,0.7433,0.4854,1.0146
236,0.6723,0.9834,1.1703,1.0186,0.7379,0.4854,1.0216
237,0.6668,0.9816,1.1690,1.0155,0.7326,0.4853,1.0146
238,0.6639,0.9796,1.1677,1.0124,0.7273,0.4853,1.0158
239,0.6627,0.9776,1.1664,1.0092,0.7222,0.4853,1.0251
240,0.6619,0.9762,1.1651,1.0061,0.7172,0.4852,1.0231
241,0.6656,0.9745,1.1637,1.0030,0.7123,0.4852,1.0079
242,0.6542,0.9724,1.1624,0.9998,0.7075,0.4852,1.0307
243,0.6566,0.9706,1.1610,0.9967,0.7028,0.4851,1.0184
244,0.6536,0.9688,1.1597,0.9936,0.6983,0.4851,1.0190
245,0.6470,0.9674,1.1583,0.9905,0.6938,0.4851,1.0182
246,0.6510,0.9662,1.1569,0.9874,0.6895,0.4851,1.0215
247,0.6457,0.9642,1.1555,0.9843,0.6852,0.4850,1.0184
248,0.6380,0.9623,1.1541,0.9811,0.6810,0.4850,1.0169
249,0.6415,0.9608,1.1527,0.9780,0.6769,0.4850,1.0224
250,0.6333,0.9594,1.1511,0.9749,0.6730,0.4849,1.0200
251,0.6391,0.9577,1.1496,0.9718,0.6691,0.4849,1.0170
252,0.6349,0.9561,1.1481,0.9687,0.6654,0.4849,1.0188
253,0.6306,0.9540,1.1467,0.9655,0.6617,0.4849,1.0211
254,0.6252,0.9525,1.1451,0.9625,0.6581,0.4848,1.0152
255,0.6181,0.9511,1.1435,0.9594,0.6545,0.4848,1.0225
256,0.6226,0.9496,1.1419,0.9562,0.6512,0.4848,1.0212
257,0.6155,0.9477,1.1403,0.9531,0.6477,0.4847,1.0206
258,0.6194,0.9463,1.1387,0.9501,0.6445,0.4847,1.0256
259,0.6197,0.9448,1.1370,0.9468,0.6413,0.4847,1.0234
260,0.6131,0.9430,1.1353,0.9437,0.6381,0.4847,1.0220
261,0.6132,0.9414,1.1336,0.9406,0.6350,0.4846,1.0160
262,0.6124,0.9399,1.1319,0.9374,0.6320,0.4846,1.0179
263,0.6165,0.9386,1.1301,0.9343,0.6291,0.4846,1.0246
264,0.6054,0.9369,1.1282,0.9311,0.6263,0.4845,1.0163
265,0.6070,0.9355,1.1264,0.9280,0.6235,0.4845,1.0153
266,0.6029,0.9340,1.1245,0.9247,0.6207,0.4845,1.0094
267,0.6006,0.9320,1.1225,0.9216,0.6180,0.4845,1.0142
268,0.6034,0.9304,1.1207,0.9183,0.6154,0.4844,1.0287
269,0.5995,0.9293,1.1186,0.9151,0.6128,0.4844,1.0181
270,0.6066,0.9277,1.1165,0.9119,0.6103,0.4844,1.0169
271,0.6023,0.9261,1.1143,0.9086,0.6078,0.4844,1.0227
272,0.5946,0.9246,1.1123,0.9054,0.6053,0.4843,1.0125
273,0.5971,0.9228,1.1100,0.9021,0.6030,0.4843,1.0199
274,0.5846,0.9214,1.1078,0.8988,0.6007,0.4843,1.0219
275,0.5914,0.9195,1.1054,0.8955,0.5984,0.4842,1.0149
276,0.5959,0.9179,1.1031,0.8923,0.5961,0.4842,1.0151
277,0.5863,0.9168,1.1007,0.8889,0.5940,0.4842,1.0235
278,0.5835,0.9150,1.0982,0.8855,0.5918,0.4842,1.0167
279,0.5774,0.9139,1.0957,0.8821,0.5896,0.4841,1.0142
280,0.5858,0.9117,1.0932,0.8787,0.5876,0.4841,1.0153
281,0.5797,0.9104,1.0905,0.8753,0.5856,0.4841,1.0115
282,0.5802,0.9093,1.0878,0.8718,0.5835,0.4841,1.0148
283,0.5719,0.9079,1.0852,0.8683,0.5816,0.4840,1.0294
