,Train Input Epoch 1000,Train Output Epoch 1000,Test Input Epoch 1000,Test Output Epoch 1000,Val Input Epoch 1000,Val Output Epoch 1000,Train Input Epoch 2000,Train Output Epoch 2000,Test Input Epoch 2000,Test Output Epoch 2000,Val Input Epoch 2000,Val Output Epoch 2000,Train Input Epoch 3000,Train Output Epoch 3000,Test Input Epoch 3000,Test Output Epoch 3000,Val Input Epoch 3000,Val Output Epoch 3000,Train Input Epoch 4000,Train Output Epoch 4000,Test Input Epoch 4000,Test Output Epoch 4000,Val Input Epoch 4000,Val Output Epoch 4000,Final Train R_2,Final Test R_2,Final Val R_2
55,0.142014205,-2.682849169,0.33283329,-1.48492837,0.917091727,0.951494455,0.142014205,-2.699728489,0.33283329,-1.479728103,0.917091727,0.970946729,0.142014205,-2.700873375,0.33283329,-1.480607867,0.917091727,0.97217834,0.142014205,-2.69811368,0.33283329,-1.480389833,0.917091727,0.9815346,,,
56,0.692369223,-2.241495848,0.346334636,-2.669326067,0.904990494,1.206796646,0.692369223,-2.274859667,0.346334636,-2.674947739,0.904990494,1.248623848,0.692369223,-2.299932957,0.346334636,-2.678493977,0.904990494,1.27394259,0.692369223,-2.31153059,0.346334636,-2.677049637,0.904990494,1.299421668,,,
57,0.388138831,-4.569007397,0.861886203,1.701196909,0.546754658,3.265534163,0.388138831,-4.562503338,0.861886203,1.750683308,0.546754658,3.304304361,0.388138831,-4.559419155,0.861886203,1.775467515,0.546754658,3.3176682,0.388138831,-4.558278561,0.861886203,1.779946327,0.546754658,3.329497814,,,
58,0.835383534,1.515868902,0.405340552,-4.412969112,0.511851192,2.40433526,0.835383534,1.503623605,0.405340552,-4.428479195,0.511851192,2.408251762,0.835383534,1.479647756,0.405340552,-4.431106091,0.511851192,2.401284695,0.835383534,1.459159255,0.405340552,-4.42889595,0.511851192,2.394583225,,,
59,0.624562442,0.511987746,0.478247821,0.157319605,0.137313738,-3.357795954,0.624562442,0.539305747,0.478247821,0.148061499,0.137313738,-3.375840187,0.624562442,0.544223785,0.478247821,0.14524284,0.137313738,-3.378382683,0.624562442,0.545034289,0.478247821,0.150449291,0.137313738,-3.377076149,,,
60,0.493849397,1.344567537,0.774477482,-0.812660277,0.568456829,3.099762201,0.493849397,1.319077849,0.774477482,-0.771275878,0.568456829,3.111967087,0.493849397,1.302501678,0.774477482,-0.749962807,0.568456829,3.110708714,0.493849397,1.295925617,0.774477482,-0.732189953,0.568456829,3.114545822,,,
61,0.679867983,-2.025753736,0.01310131,-2.065482378,0.676567674,-1.948471308,0.679867983,-2.041007519,0.01310131,-2.050521851,0.676567674,-1.956940174,0.679867983,-2.054936171,0.01310131,-2.055690289,0.676567674,-1.96690321,0.679867983,-2.057352781,0.01310131,-2.053204536,0.676567674,-1.966585636,,,
62,0.781278133,-0.48733139,0.596859694,2.129975796,0.343334347,-2.423201323,0.781278133,-0.464109838,0.596859694,2.116065979,0.343334347,-2.428221226,0.781278133,-0.452408165,0.596859694,2.099033356,0.343334347,-2.431343555,0.781278133,-0.438506305,0.596859694,2.088232279,0.343334347,-2.430247784,,,
63,0.168016806,1.110025883,0.807480752,0.719794512,0.533753395,3.119042635,0.168016806,1.094266891,0.807480752,0.678306043,0.533753395,3.157619953,0.168016806,1.08955574,0.807480752,0.646897554,0.533753395,3.169944525,0.168016806,1.091130853,0.807480752,0.635339379,0.533753395,3.178102732,,,
64,0.671567142,-1.813869715,0.828482866,1.380461454,0.922692299,0.820647299,0.671567142,-1.811159611,0.828482866,1.352557302,0.922692299,0.829270899,0.671567142,-1.814763069,0.828482866,1.319982886,0.922692299,0.81862855,0.671567142,-1.810397148,0.828482866,1.298038602,0.922692299,0.818549991,,,
65,0.063306332,-8.251914024,0.227322727,6.213050365,0.913091302,1.04024291,0.063306332,-8.262619972,0.227322727,6.21198988,0.913091302,1.067407727,0.063306332,-8.261157036,0.227322727,6.2085042,0.913091302,1.077083111,0.063306332,-8.259288788,0.227322727,6.208525181,0.913091302,1.092637181,,,
66,0.256925702,5.646909714,0.407640755,-4.35436821,0.326332629,-0.852959454,0.256925702,5.647960186,0.407640755,-4.371778965,0.326332629,-0.839903653,0.256925702,5.649146557,0.407640755,-4.375593662,0.326332629,-0.839335918,0.256925702,5.651687145,0.407640755,-4.373542309,0.326332629,-0.838727951,,,
67,0.735973597,-2.130635738,0.636563659,-0.232892931,0.555455565,3.259134531,0.735973597,-2.106821537,0.636563659,-0.187644318,0.555455565,3.290028811,0.735973597,-2.100013256,0.636563659,-0.171821088,0.555455565,3.299291611,0.735973597,-2.100412846,0.636563659,-0.162289485,0.555455565,3.309715986,,,
68,0.216621667,5.888016224,0.228822887,6.2341609,0.4119412,-4.222594261,0.216621667,5.8762393,0.228822887,6.234522343,0.4119412,-4.242030621,0.216621667,5.871036053,0.228822887,6.231586456,0.4119412,-4.248000622,0.216621667,5.871256351,0.228822887,6.231800556,0.4119412,-4.24648571,,,
69,0.816981673,1.064204216,0.520652056,2.766625166,0.806880713,0.695742786,0.816981673,1.020744085,0.520652056,2.788544655,0.806880713,0.654880822,0.816981673,0.983348489,0.520652056,2.790897608,0.806880713,0.624130845,0.816981673,0.964617968,0.520652056,2.790086269,0.806880713,0.613125443,,,
70,0.88458848,1.534763336,0.962996304,-0.290858805,0.782178223,-0.443597198,0.88458848,1.59896493,0.962996304,-0.315716684,0.782178223,-0.423036754,0.88458848,1.644009471,0.962996304,-0.351188868,0.782178223,-0.41280511,0.88458848,1.672663689,0.962996304,-0.37614429,0.782178223,-0.399570286,,,
71,0.282528251,3.750089645,0.272427231,4.630227566,0.720372021,-2.326653957,0.282528251,3.741104603,0.272427231,4.621918201,0.720372021,-2.340594292,0.282528251,3.736153364,0.272427231,4.618730068,0.720372021,-2.355696201,0.282528251,3.73652029,0.272427231,4.619566441,0.720372021,-2.368303061,,,
72,0.408740878,-4.32338047,0.658465862,-1.353746176,0.936293602,0.474594355,0.408740878,-4.34151268,0.658465862,-1.322151899,0.936293602,0.459998012,0.408740878,-4.345892906,0.658465862,-1.310456753,0.936293602,0.42505458,0.408740878,-4.343950748,0.658465862,-1.298074365,0.936293602,0.403632045,,,
73,0.624362469,0.524675012,0.21282129,5.69801712,0.08090809,-8.507045746,0.624362469,0.551601708,0.21282129,5.68362093,0.08090809,-8.523684502,0.624362469,0.556297183,0.21282129,5.679181576,0.08090809,-8.525958061,0.624362469,0.556951046,0.21282129,5.680260658,0.08090809,-8.527186394,,,
74,0.836483657,1.533802748,0.490349025,1.094358206,0.368636876,-4.082646847,0.836483657,1.52429688,0.490349025,1.068301678,0.368636876,-4.069519043,0.836483657,1.502005935,0.490349025,1.053151011,0.368636876,-4.07073307,0.836483657,1.481982946,0.490349025,1.04892242,0.368636876,-4.070445538,,,
75,0.394139409,-4.573265553,0.282328248,3.768917799,0.941194117,0.341439486,0.394139409,-4.574745655,0.282328248,3.759883642,0.941194117,0.32065177,0.394139409,-4.572669506,0.282328248,3.754944563,0.941194117,0.280085117,0.394139409,-4.570824146,0.282328248,3.75530982,0.941194117,0.253303885,,,
